iter	Logloss
0	0.6871373107
1	0.6812942489
2	0.6753293285
3	0.6696678193
4	0.663916686
5	0.6587156225
6	0.6536369221
7	0.647828284
8	0.6440260687
9	0.6395188022
10	0.634637564
11	0.6308371851
12	0.6267285614
13	0.6212989138
14	0.6169130846
15	0.6118963043
16	0.6085148086
17	0.6042048794
18	0.5995161601
19	0.5955188539
20	0.5931072667
21	0.5890452164
22	0.5846361636
23	0.5810368144
24	0.5771569922
25	0.573776207
26	0.5704172279
27	0.5672437303
28	0.5641894676
29	0.5613627557
30	0.5588312001
31	0.5551796559
32	0.5517071713
33	0.54875463
34	0.5461085911
35	0.5428259558
36	0.5406559054
37	0.5391154135
38	0.5372434169
39	0.5343927435
40	0.5314661337
41	0.5290105906
42	0.5267786502
43	0.5244892542
44	0.5222388915
45	0.5204651842
46	0.5191289025
47	0.5166317323
48	0.5139991169
49	0.5121383156
50	0.5098102322
51	0.5075860377
52	0.5060002493
53	0.5040006705
54	0.5016494768
55	0.4999740313
56	0.4984661866
57	0.4965351633
58	0.4941958734
59	0.4924897415
60	0.4905987579
61	0.4887584924
62	0.4866045889
63	0.4844630235
64	0.4831505639
65	0.4819618453
66	0.4802391325
67	0.478253274
68	0.4771960158
69	0.4753964996
70	0.4740354055
71	0.4726312764
72	0.4712137782
73	0.4702349947
74	0.4689423871
75	0.4673703095
76	0.4659878254
77	0.464485209
78	0.4633896619
79	0.4624046562
80	0.461544266
81	0.4605107622
82	0.4589465719
83	0.457773124
84	0.456542215
85	0.4550219239
86	0.453916081
87	0.4524030589
88	0.4511795277
89	0.4498236218
90	0.4487496019
91	0.4479628454
92	0.4466361545
93	0.4457163187
94	0.4445929357
95	0.443486633
96	0.4422437756
97	0.4410694319
98	0.4399049297
99	0.4388661805
100	0.4375589065
101	0.4370150316
102	0.435882392
103	0.4348039257
104	0.4337465661
105	0.432683648
106	0.4321902743
107	0.4309915069
108	0.4302474506
109	0.4293865811
110	0.4286642659
111	0.4274939582
112	0.4268928319
113	0.4259561158
114	0.4253196973
115	0.4245000433
116	0.423727947
117	0.4229722973
118	0.4221486484
119	0.4214645284
120	0.4210844342
121	0.4205100432
122	0.4198400472
123	0.418985528
124	0.4185517554
125	0.4180717553
126	0.4176897712
127	0.4168786674
128	0.4162919239
129	0.4156202175
130	0.415196684
131	0.4147291619
132	0.4139213985
133	0.4135230451
134	0.4128827863
135	0.412214943
136	0.4116340125
137	0.4110036232
138	0.410561073
139	0.4098026599
140	0.4096730671
141	0.4092487318
142	0.4087708031
143	0.4083823604
144	0.4079510195
145	0.4076849675
146	0.4072665252
147	0.4068547743
148	0.406414658
149	0.4059930416
150	0.4055457879
151	0.405223127
152	0.4049096945
153	0.4046600008
154	0.4042331956
155	0.4040768422
156	0.4035113109
157	0.4032368071
158	0.4026586892
159	0.4023908752
160	0.4019436453
161	0.4014870412
162	0.4009237192
163	0.4005038096
164	0.4001040835
165	0.3996716701
166	0.3992061899
167	0.3989666069
168	0.3986333091
169	0.3984549309
170	0.3981315164
171	0.3978298209
172	0.3976115243
173	0.3971965894
174	0.3969100424
175	0.3965144163
176	0.3963155547
177	0.3960345279
178	0.3958207424
179	0.3955037797
180	0.3951645236
181	0.3949732345
182	0.3947325465
183	0.3944729877
184	0.3942654105
185	0.3938593118
186	0.3937502862
187	0.3934125853
188	0.3929944415
189	0.392747058
190	0.3925464666
191	0.3923787767
192	0.3922649907
193	0.392068716
194	0.3919032182
195	0.3914976388
196	0.3912314593
197	0.3909462483
198	0.390616605
199	0.3904988576
200	0.390205513
201	0.3899208725
202	0.3897226144
203	0.3894735799
204	0.3892051707
205	0.3889280343
206	0.3887437691
207	0.388516133
208	0.388416183
209	0.3881720325
210	0.3881314579
211	0.3879484969
212	0.387807359
213	0.3876675637
214	0.3874995668
215	0.3872565833
216	0.386953761
217	0.3867840608
218	0.3865419892
219	0.3864332
220	0.3860950313
221	0.3857493116
222	0.3856239735
223	0.3854690913
224	0.3854604911
225	0.3852432002
226	0.3849338004
227	0.3846728026
228	0.3843421955
229	0.384120704
230	0.3838680141
231	0.3837563118
232	0.3835531682
233	0.383316772
234	0.3831337564
235	0.3830909892
236	0.3829383329
237	0.3828049175
238	0.3825926292
239	0.3823744845
240	0.3822090137
241	0.3820107819
242	0.3819025936
243	0.3817340311
244	0.3815834721
245	0.381322492
246	0.3813085981
247	0.3810562877
248	0.3810424473
249	0.380800762
250	0.380597784
251	0.3805718217
252	0.3804153577
253	0.3802039192
254	0.3800794738
255	0.3799313293
256	0.3797637376
257	0.3795979912
258	0.3794267157
259	0.3793107526
260	0.3791835575
261	0.3790975339
262	0.3788688562
263	0.3787168009
264	0.3785773102
265	0.3785640789
266	0.3784310039
267	0.3784200019
268	0.3782704089
269	0.3781213585
270	0.3779387065
271	0.3779193345
272	0.3777426082
273	0.3775607972
274	0.3774087627
275	0.3773317517
276	0.3771820882
277	0.3771166159
278	0.3768126794
279	0.3766773294
280	0.3764715055
281	0.3763203289
282	0.3762014351
283	0.3759722063
284	0.3759642578
285	0.3757632589
286	0.3755497519
287	0.3754579237
288	0.3752673498
289	0.3751543646
290	0.3750480807
291	0.374981061
292	0.3747956519
293	0.3747243032
294	0.3747094197
295	0.3746089085
296	0.3743878773
297	0.3742427312
298	0.3740323737
299	0.3739318484
300	0.3738343213
301	0.3738121298
302	0.3737008748
303	0.3735341032
304	0.3733810433
305	0.3732603649
306	0.373199083
307	0.3731004318
308	0.3729586552
309	0.3728612258
310	0.3727828995
311	0.3727000634
312	0.3725448018
313	0.3724195157
314	0.3722919651
315	0.3722293805
316	0.3720667032
317	0.3719660781
318	0.3719452853
319	0.3717894269
320	0.3717035031
321	0.3716418313
322	0.3715477708
323	0.3714317614
324	0.3713225076
325	0.3712724438
326	0.3711202505
327	0.3710090345
328	0.3709484983
329	0.370802474
330	0.3707313231
331	0.3706946791
332	0.3706001092
333	0.3704974703
334	0.3703525954
335	0.3702121479
336	0.3700801693
337	0.3700362247
338	0.3699485737
339	0.3698836254
340	0.3698467624
341	0.3696992255
342	0.3696103511
343	0.3695693612
344	0.3694175018
345	0.3692503715
346	0.3691465032
347	0.3690686396
348	0.368961581
349	0.3689456472
350	0.3689089281
351	0.3687501223
352	0.368636009
353	0.3684551021
354	0.3682641064
355	0.3681286349
356	0.3679105255
357	0.3678472804
358	0.3677170946
359	0.3675629377
360	0.3674414992
361	0.3673278606
362	0.3672367518
363	0.3671196501
364	0.3669863915
365	0.3669141864
366	0.3668180666
367	0.3666927609
368	0.3666827375
369	0.366568106
370	0.3664914936
371	0.3663368906
372	0.366255416
373	0.3660790132
374	0.3659959665
375	0.3659680445
376	0.3658670779
377	0.3657169223
378	0.3656771692
379	0.365569707
380	0.3655591968
381	0.3654873668
382	0.3653873121
383	0.3653302889
384	0.3653101175
385	0.3652333549
386	0.3651556802
387	0.3650779141
388	0.3650733848
389	0.3650339529
390	0.3650321328
391	0.3649919885
392	0.3649495451
393	0.3648152043
394	0.3646956318
395	0.3646798835
396	0.3645666184
397	0.3644982038
398	0.36447202
399	0.3643945248
400	0.3643901449
401	0.3642910247
402	0.3641908508
403	0.3640651999
404	0.3639031827
405	0.3639016188
406	0.36389862
407	0.3637693878
408	0.3636033492
409	0.3635887277
410	0.3635502331
411	0.3634953451
412	0.363381287
413	0.3632908748
414	0.3632510801
415	0.3631448038
416	0.3631127029
417	0.3630681714
418	0.3630604388
419	0.3630482333
420	0.3629290339
421	0.3628674798
422	0.3627208841
423	0.362686535
424	0.3626177356
425	0.3625381224
426	0.3624921591
427	0.3624333105
428	0.3622864249
429	0.3621845843
430	0.3621252279
431	0.3620821257
432	0.3620074105
433	0.3619260881
434	0.3618643325
435	0.3618155318
436	0.3617190226
437	0.361661811
438	0.3616570429
439	0.3616515306
440	0.3615747159
441	0.3615224044
442	0.3615074245
443	0.3613985049
444	0.3613916009
445	0.3613685503
446	0.3612614129
447	0.3611532819
448	0.3609801689
449	0.3609033232
450	0.3608161809
451	0.360742006
452	0.3606497905
453	0.3605524807
454	0.3605253789
455	0.3604954594
456	0.3604259723
457	0.3603835519
458	0.3603256832
459	0.3602524941
460	0.360198559
461	0.3601582832
462	0.3601421838
463	0.3601147988
464	0.3600610708
465	0.3600551569
466	0.3599441311
467	0.3599409074
468	0.3598367074
469	0.3597644893
470	0.3597614406
471	0.3596597159
472	0.3595548773
473	0.3595055932
474	0.3593780248
475	0.3593134856
476	0.3592607758
477	0.3591403458
478	0.3591354703
479	0.3590732074
480	0.3589602622
481	0.35893472
482	0.3588539056
483	0.3588216459
484	0.3587442536
485	0.3586708352
486	0.3586213421
487	0.3585428394
488	0.3584915046
489	0.3584264188
490	0.3583464039
491	0.358280567
492	0.3582025363
493	0.3581773942
494	0.3581525467
495	0.3581490683
496	0.3580422756
497	0.3579740313
498	0.3579137639
499	0.3578632931
500	0.3578545316
501	0.3578399982
502	0.3578351324
503	0.3578168811
504	0.3577221208
505	0.3576848004
506	0.3576024093
507	0.3575208651
508	0.357492075
509	0.3574584287
510	0.3573766823
511	0.3572995301
512	0.3572960235
513	0.357215674
514	0.3571879234
515	0.3571326612
516	0.3570003056
517	0.3569324137
518	0.35684251
519	0.3567822083
520	0.3566721623
521	0.3565708733
522	0.3565152887
523	0.3564960029
524	0.3564445063
525	0.3563402766
526	0.3563101155
527	0.3562627306
528	0.3561477603
529	0.3560904932
530	0.3559801008
531	0.3558657164
532	0.355782961
533	0.3557349322
534	0.3556727564
535	0.3556410792
536	0.3556104487
537	0.3555855467
538	0.3555299291
539	0.3554036825
540	0.3553691434
541	0.3552769159
542	0.355275788
543	0.3552240299
544	0.3552161035
545	0.3551498823
546	0.3551422593
