iter	Passed	Remaining
0	0	379
1	0	378
2	1	397
3	1	375
4	1	369
5	2	378
6	2	370
7	3	372
8	3	360
9	3	361
10	4	362
11	4	366
12	4	359
13	5	360
14	5	353
15	5	349
16	5	340
17	6	338
18	6	335
19	6	332
20	6	325
21	7	323
22	7	321
23	7	319
24	8	317
25	8	315
26	8	314
27	9	313
28	9	312
29	9	310
30	9	308
31	10	308
32	10	307
33	10	308
34	11	305
35	11	304
36	11	302
37	11	299
38	12	298
39	12	298
40	12	298
41	13	298
42	13	298
43	13	298
44	14	297
45	14	297
46	14	295
47	14	295
48	15	295
49	15	293
50	15	293
51	16	292
52	16	291
53	16	291
54	16	290
55	17	290
56	17	290
57	18	292
58	18	293
59	18	293
60	19	294
61	19	294
62	19	294
63	20	296
64	20	298
65	21	298
66	21	298
67	21	298
68	22	298
69	22	297
70	22	297
71	23	296
72	23	296
73	23	295
74	23	294
75	24	294
76	24	293
77	24	293
78	25	293
79	25	291
80	25	291
81	25	290
82	26	290
83	26	289
84	26	289
85	27	289
86	27	289
87	27	289
88	28	288
89	28	288
90	28	288
91	29	287
92	29	287
93	29	287
94	30	286
95	30	286
96	30	286
97	31	286
98	31	286
99	31	285
100	32	285
101	32	284
102	32	284
103	32	284
104	33	283
105	33	283
106	33	282
107	34	282
108	34	282
109	34	281
110	35	281
111	35	281
112	35	280
113	36	280
114	36	280
115	36	280
116	37	279
117	37	279
118	37	279
119	38	279
120	38	278
121	38	278
122	39	278
123	39	278
124	39	277
125	40	277
126	40	276
127	40	276
128	40	276
129	41	275
130	41	275
131	41	274
132	42	274
133	42	274
134	42	273
135	43	273
136	43	273
137	43	272
138	44	272
139	44	272
140	44	271
141	44	271
142	45	271
143	45	270
144	45	270
145	46	270
146	46	269
147	46	269
148	47	269
149	47	268
150	47	268
151	48	268
152	48	267
153	48	267
154	48	267
155	49	266
156	49	266
157	49	265
158	50	265
159	50	265
160	50	265
161	51	264
162	51	264
163	51	264
164	52	264
165	52	263
166	52	263
167	53	263
168	53	262
169	53	262
170	54	262
171	54	262
172	54	261
173	55	261
174	55	261
175	55	260
176	55	260
177	56	259
178	56	259
179	56	259
180	57	259
181	57	258
182	57	258
183	58	257
184	58	257
185	58	257
186	59	256
187	59	256
188	59	256
189	59	255
190	60	255
191	60	254
192	60	254
193	61	253
194	61	253
195	61	253
196	62	252
197	62	252
198	62	252
199	62	251
200	63	251
201	63	251
202	63	250
203	64	250
204	64	250
205	64	249
206	65	249
207	65	249
208	65	248
209	66	248
210	66	248
211	66	247
212	66	247
213	67	247
214	67	246
215	67	246
216	68	246
217	68	245
218	68	245
219	69	245
220	69	245
221	69	244
222	70	244
223	70	244
224	70	243
225	71	243
226	71	243
227	71	242
228	72	242
229	72	242
230	72	241
231	72	241
232	73	241
233	73	240
234	73	240
235	74	240
236	74	239
237	74	239
238	75	239
239	75	239
240	76	239
241	76	239
242	76	239
243	77	239
244	77	239
245	78	239
246	78	238
247	78	239
248	79	238
249	79	238
250	79	238
251	80	237
252	80	237
253	80	237
254	81	236
255	81	236
256	81	236
257	82	236
258	82	235
259	82	235
260	83	235
261	83	234
262	83	234
263	84	234
264	84	233
265	84	233
266	84	233
267	85	232
268	85	232
269	85	232
270	86	231
271	86	231
272	86	230
273	87	230
274	87	230
275	87	229
276	87	229
277	88	229
278	88	228
279	88	228
280	89	228
281	89	227
282	89	227
283	90	227
284	90	226
285	90	226
286	91	226
287	91	226
288	91	225
289	92	225
290	92	225
291	92	224
292	92	224
293	93	224
